Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
47,EQ,04-Dec-17,1848.2,1854.9,1854.9,1830.1,1836.3,1834.1,1840.43,910483,1675680713,36729,629502,69.14
48,EQ,05-Dec-17,1834.1,1826,1828.55,1807,1824.9,1820.45,1818.21,973340,1769739388,30980,546351,56.13
49,EQ,06-Dec-17,1820.45,1819.95,1821.35,1799,1799.3,1803.3,1809.42,1598780,2892866502,47014,1164494,72.84
50,EQ,07-Dec-17,1803.3,1806.65,1816.6,1803.1,1810.9,1809.65,1809.12,1057826,1913737163,49113,626080,59.19
51,IL,07-Dec-17,1856,1805,1809.5,1805,-,1809.5,1805.53,340000,613880000,8,340000,100
52,EQ,08-Dec-17,1809.65,1814,1853,1814,1842.25,1840.4,1839.43,2239100,4118673541,38922,1482220,66.2
53,EQ,11-Dec-17,1840.4,1848,1851.75,1840,1846.4,1846.4,1846.99,799558,1476774982,45584,490124,61.3
54,IL,11-Dec-17,1809.5,1843,1843,1843,-,1843,1843,857750,1580833250,219,857750,100
55,EQ,12-Dec-17,1846.4,1849.1,1849.9,1815.95,1818,1819.9,1826.78,602647,1100901257,17546,315406,52.34
56,EQ,13-Dec-17,1819.9,1820.05,1845,1815.1,1821.4,1821.35,1832.2,726865,1331763553,27628,270762,37.25
57,IL,13-Dec-17,1843,1823,1823,1823,-,1823,1823,2732642,4981606366,56,2732642,100
58,EQ,14-Dec-17,1821.35,1824,1840,1812,1837.1,1838.05,1826.18,920773,1681496961,21825,441606,47.96
59,EQ,15-Dec-17,1838.05,1856,1888,1855.5,1871,1873.45,1877.73,3112531,5844489331,68576,1845713,59.3
60,IL,15-Dec-17,1823,1880,1880,1880,-,1880,1880,74902,140815760,2,74902,100
61,EQ,18-Dec-17,1873.45,1855,1899,1809.3,1878.4,1878.95,1876.25,3074497,5768529011,46417,1558319,50.69
62,EQ,19-Dec-17,1878.95,1879.8,1893.65,1876.15,1886.95,1884.5,1884.02,1238028,2332475336,34874,666370,53.83
63,EQ,20-Dec-17,1884.5,1898.9,1903.1,1863.65,1866.35,1868.15,1885.29,2335876,4403801177,83598,1303739,55.81
64,EQ,21-Dec-17,1868.15,1879.9,1885,1865.2,1866.05,1868.3,1871.04,1713636,3206288353,57272,1059344,61.82
65,IL,21-Dec-17,1880,1870,1870,1870,-,1870,1870,25343,47391410,12,343,1.35
66,EQ,22-Dec-17,1868.3,1879,1880,1861.75,1874.65,1876.65,1870.36,1117726,2090553506,46791,609701,54.55
67,EQ,26-Dec-17,1876.65,1881,1882.8,1856.7,1870,1868.35,1867.6,1696424,3168235275,23017,1186061,69.92
68,EQ,27-Dec-17,1868.35,1870.1,1870.3,1851.15,1852.5,1856.75,1863.9,872346,1625967980,21881,569939,65.33
69,EQ,28-Dec-17,1856.75,1858.9,1880.9,1858,1870.05,1878.05,1873.07,2175130,4074175063,42854,1373463,63.14
70,EQ,29-Dec-17,1878.05,1876.8,1879.2,1868.15,1871.4,1872.4,1873.42,1586468,2972120303,29466,1059416,66.78
71,EQ,01-Jan-18,1872.4,1872.7,1880.75,1850.5,1855,1854.5,1862.24,1645129,3063622973,30994,1222191,74.29
72,EQ,02-Jan-18,1854.5,1858.55,1875,1858.55,1869.8,1872.35,1868.27,1194079,2230859133,33877,737318,61.75
73,IL,02-Jan-18,1870,1886.05,1886.05,1886,-,1886,1886.01,280000,528081500,10,280000,100
74,EQ,03-Jan-18,1872.35,1875,1878.25,1851.2,1853.85,1852.65,1859.01,1132822,2105921941,39569,765751,67.6
75,IL,03-Jan-18,1886,1880,1884,1880,-,1880,1880.13,313995,590350600,32,303995,96.82
76,EQ,04-Jan-18,1852.65,1853,1865.5,1853,1859.25,1859.9,1860.54,593444,1104125326,11185,300493,50.64
77,EQ,05-Jan-18,1859.9,1863,1868.05,1855.55,1863.05,1863.6,1862.6,717717,1336816277,20342,394247,54.93
78,IL,05-Jan-18,1880,1865,1865,1865,-,1865,1865,75000,139875000,6,75000,100
79,EQ,08-Jan-18,1863.6,1865,1870.7,1857.75,1864,1860.6,1861.87,1142577,2127331035,17668,792771,69.38
80,IL,08-Jan-18,1865,1870,1870,1865.5,-,1866,1866.5,110000,205315000,11,110000,100
81,EQ,09-Jan-18,1860.6,1862,1869.85,1855,1862.7,1863.7,1861.62,1326382,2469224840,49929,959503,72.34
82,IL,09-Jan-18,1866,1859,1860,1857.8,-,1857.8,1858.92,152000,282555600,12,152000,100
83,EQ,10-Jan-18,1863.7,1865.2,1867.9,1857.3,1860.45,1864.2,1863.6,1153972,2150540895,18186,880760,76.32
84,EQ,11-Jan-18,1864.2,1864.2,1876,1856.25,1873.95,1872.55,1868.69,1014774,1896296274,26221,622410,61.33
85,EQ,12-Jan-18,1872.55,1873,1878.15,1860,1865,1865.3,1868.58,1084177,2025876708,29065,566529,52.25
86,EQ,15-Jan-18,1865.3,1869.95,1904.4,1859.85,1893.05,1897.75,1891.97,3144111,5948565811,68116,1638414,52.11
87,EQ,16-Jan-18,1897.75,1903.45,1910,1885.25,1900.1,1900.15,1899.62,1611346,3060951109,60260,827555,51.36
88,IL,16-Jan-18,1857.8,1910,1920,1910,-,1920,1910.24,210000,401150000,30,210000,100
89,EQ,17-Jan-18,1900.15,1897,1902.55,1887,1891.6,1890.5,1893.05,726374,1375065564,25142,346150,47.65
90,EQ,18-Jan-18,1890.5,1924,1954,1918.05,1933.05,1934.3,1939.75,4162385,8073993016,79152,1499386,36.02
91,IL,18-Jan-18,1920,1965,1973,1965,-,1973,1969.8,250000,492450000,9,150000,60
92,EQ,19-Jan-18,1934.3,1935.15,1959.9,1919.25,1949.35,1952.2,1947.44,2863997,5577473373,62844,861137,30.07
93,EQ,22-Jan-18,1952.2,1960,1988,1953.15,1962.5,1963.35,1969.82,2212442,4358108236,87200,961425,43.46
94,IL,22-Jan-18,1973,2040,2040,2040,-,2040,2040,28765,58680600,1,0,0
95,EQ,23-Jan-18,1963.35,1965,1966.7,1943.3,1951.5,1951.3,1953.81,1261949,2465611789,41602,726995,57.61
96,EQ,24-Jan-18,1951.3,1952.55,1969,1950.6,1957.6,1957.65,1958.02,1197642,2345001019,20553,698354,58.31
97,EQ,25-Jan-18,1957.65,1953.9,1980,1950.5,1969,1974.95,1968.83,2180917,4293844957,33097,1165553,53.44
98,IL,25-Jan-18,2040,2039.5,2039.5,2039.5,-,2039.5,2039.5,100000,203950000,11,100000,100
99,EQ,29-Jan-18,1974.95,1978,2006.95,1978,2000.6,1999.65,1995.69,2058973,4109064050,48366,1249653,60.69
100,EQ,30-Jan-18,1999.65,1997.8,2001.9,1984.15,1995.55,1995.5,1994.03,1599390,3189237270,37667,1057272,66.1
101,EQ,31-Jan-18,1995.5,1989.4,2013.5,1987,2004.6,2005.7,2003.12,1735837,3477096561,45781,1045031,60.2
102,EQ,01-Feb-18,2005.7,2006,2015,1985.3,1986.5,1991.15,2001.09,1630355,3262488566,34891,701699,43.04
103,EQ,02-Feb-18,1991.15,1986,1989.9,1941.5,1941.5,1948,1963.93,1836531,3606812369,60365,1231464,67.05
104,EQ,05-Feb-18,1948,1918,1935.25,1905.85,1918,1913.85,1916.75,1981696,3798409855,49748,1385911,69.94
105,EQ,06-Feb-18,1913.85,1860,1912,1836.3,1898.8,1896.8,1868.86,2687451,5022468828,74329,1279189,47.6
106,IL,06-Feb-18,2039.5,1890,1890,1890,-,1890,1890,330000,623700000,26,330000,100
107,EQ,07-Feb-18,1896.8,1907,1907,1862.4,1868.5,1872.8,1875.43,2091243,3921971760,57480,993289,47.5
108,IL,07-Feb-18,1890,1936,1936,1936,-,1936,1936,120463,233216368,7,120463,100
109,EQ,08-Feb-18,1872.8,1884,1898.6,1866.5,1882,1880.95,1887.25,1292861,2439953543,53803,559966,43.31
110,EQ,09-Feb-18,1880.95,1847.9,1864.7,1844.1,1852,1849.5,1853.01,1602238,2968965973,52830,837518,52.27
111,IL,09-Feb-18,1936,1910,1910,1909,-,1909,1909.85,110000,210083000,3,110000,100
112,EQ,12-Feb-18,1849.5,1860,1886,1855.15,1880,1876.65,1872.43,1095277,2050832317,22502,700531,63.96
113,EQ,14-Feb-18,1876.65,1889.8,1897.9,1874.65,1879.85,1883.15,1889.56,894297,1689825412,31815,517624,57.88
114,EQ,15-Feb-18,1883.15,1889.7,1894.75,1875,1881.25,1881.9,1882.55,1228806,2313293857,32753,742302,60.41
115,EQ,16-Feb-18,1881.9,1883.9,1894.85,1875.65,1880.4,1878.6,1883.79,895880,1687649892,22732,355509,39.68
116,EQ,19-Feb-18,1878.6,1882.6,1887.6,1859.05,1880,1878.2,1876.45,913638,1714398525,25194,457562,50.08
117,EQ,20-Feb-18,1878.2,1884.75,1885.85,1858.8,1860.15,1863.2,1875.4,1021017,1914810586,31634,582362,57.04
118,EQ,21-Feb-18,1863.2,1867.95,1868.55,1852.2,1859.2,1857.4,1858.84,688268,1279377292,32317,352348,51.19
119,EQ,22-Feb-18,1857.4,1850,1860,1841.55,1850.15,1853.2,1851.2,3313399,6133748039,41538,1640988,49.53
120,EQ,23-Feb-18,1853.2,1856.9,1884.85,1850.4,1877,1880.55,1869.03,1019187,1904887236,18810,553315,54.29
121,EQ,26-Feb-18,1880.55,1888.1,1914.8,1883.55,1912.5,1911.55,1904.1,1197221,2279631075,30059,692072,57.81
122,EQ,27-Feb-18,1911.55,1914.75,1921.75,1900,1900.5,1902.55,1908.74,1196832,2284446197,26645,764702,63.89
123,EQ,28-Feb-18,1902.55,1889.55,1895.45,1878,1888,1884.2,1883.79,1016591,1915043360,29207,533917,52.52
124,EQ,01-Mar-18,1884.2,1879.3,1893.3,1868,1868.05,1874.35,1884.58,977460,1842102392,24955,492115,50.35
125,EQ,05-Mar-18,1874.35,1874.15,1878,1858.25,1866,1869.95,1867.66,945366,1765625423,60906,482154,51
126,IL,05-Mar-18,1909,1901,1901,1901,-,1901,1901,329654,626672254,7,329654,100
127,EQ,06-Mar-18,1869.95,1870,1879.9,1839.5,1840,1846.25,1864.57,1144207,2133448786,32346,587401,51.34
128,EQ,07-Mar-18,1846.25,1840,1853.4,1828.5,1831.1,1832.6,1839.17,1407041,2587784690,41147,786990,55.93
129,EQ,08-Mar-18,1832.6,1839.8,1858.5,1832,1850,1852.85,1844.42,1379681,2544714180,26260,841822,61.02
130,IL,08-Mar-18,1901,1850,1856,1850,-,1850,1850.35,915600,1694184600,39,915600,100
131,EQ,09-Mar-18,1852.85,1854.95,1865.25,1844,1846.15,1851.05,1856.06,1027027,1906219130,29867,583405,56.81
132,EQ,12-Mar-18,1851.05,1860.2,1869.45,1853.4,1866.3,1867.25,1863.99,1639279,3055594029,34880,1156796,70.57
133,EQ,13-Mar-18,1867.25,1867.45,1884.75,1855,1859.45,1860.25,1870.24,1281050,2395869816,32044,696918,54.4
134,EQ,14-Mar-18,1860.25,1856,1867.9,1848,1864,1864.5,1857.75,920098,1709311423,36271,509645,55.39
135,EQ,15-Mar-18,1864.5,1865.2,1887.5,1865.2,1873.5,1880.8,1879.2,1467731,2758155777,44905,802388,54.67
136,IL,15-Mar-18,1850,1900,1900,1900,-,1900,1900,130933,248772700,5,130933,100
137,EQ,16-Mar-18,1880.8,1880,1881.1,1846.55,1858,1853,1861.09,1974084,3673949097,35446,1068955,54.15
138,EQ,19-Mar-18,1853,1853,1860,1843.15,1847,1847.25,1851.78,1959685,3628898884,60212,1210689,61.78
139,IL,19-Mar-18,1900,1880,1880,1880,-,1880,1880,276457,519739160,12,276457,100
140,EQ,20-Mar-18,1847.25,1845.1,1855.9,1835.25,1842.9,1839.5,1845.17,914343,1687115133,23270,453848,49.64
141,EQ,21-Mar-18,1839.5,1848,1863.2,1843.3,1858.95,1858.9,1853.89,1480285,2744280456,44655,947180,63.99
142,EQ,22-Mar-18,1858.9,1858.9,1880,1855.1,1863,1867.75,1872.05,1668306,3123149752,37562,856679,51.35
143,IL,22-Mar-18,1880,1917,1917,1917,-,1917,1917,101651,194864967,5,101651,100
144,EQ,23-Mar-18,1867.75,1846.65,1853.1,1837.25,1842.25,1841.55,1844.22,1797538,3315060068,34048,886132,49.3
145,IL,23-Mar-18,1917,1880,1886,1880,-,1886,1881.75,60767,114348562,3,60767,100
146,EQ,26-Mar-18,1841.55,1839.9,1900,1833.5,1896.2,1893.45,1868.66,2625442,4906054711,86610,1573073,59.92
147,IL,26-Mar-18,1886,1900,1900,1900,-,1900,1900,49755,94534500,2,0,0
148,EQ,27-Mar-18,1893.45,1893.8,1899,1876,1894.05,1892.6,1888.52,1534209,2897382139,31150,797281,51.97
149,EQ,28-Mar-18,1892.6,1882.95,1899.7,1876.05,1890,1886.1,1886.44,2209377,4167862539,50573,1205141,54.55
150,IL,28-Mar-18,1900,1915,1929,1915,-,1929,1922.26,1157103,2224252245,46,1157103,100
151,EQ,02-Apr-18,1886.1,1890.5,1935.75,1890.5,1931.9,1931.2,1917.34,1149092,2203201440,37803,656967,57.17
152,IL,02-Apr-18,1929,1930,1975,1930,-,1971.5,1957.88,224897,440321000,31,196366,87.31
153,EQ,03-Apr-18,1931.2,1923.95,1925.7,1911,1913,1915.9,1917.02,1019971,1955306115,48938,592029,58.04
154,EQ,04-Apr-18,1915.9,1912.95,1924.95,1878.45,1883.1,1883.25,1903.29,928527,1767257058,34499,456685,49.18
155,IL,04-Apr-18,1971.5,1990,1990,1990,-,1990,1990,50000,99500000,1,50000,100
156,EQ,05-Apr-18,1883.25,1901.3,1914,1890.2,1913.1,1908.9,1900.56,1214723,2308652575,61633,605874,49.88
157,IL,05-Apr-18,1990,1950,1970,1950,-,1970,1954.04,1236448,2416073600,55,1136448,91.91
158,EQ,06-Apr-18,1908.9,1912.2,1926.45,1905.8,1920.1,1923.4,1917.27,930002,1783068526,24914,466973,50.21
159,IL,06-Apr-18,1970,1965.5,1965.5,1965.5,-,1965.5,1965.5,20000,39310000,1,20000,100
160,EQ,09-Apr-18,1923.4,1918.8,1942,1916.4,1937,1939.05,1936.3,1000884,1938008165,32002,541199,54.07
161,IL,09-Apr-18,1965.5,1997,1997,1997,-,1997,1997,97632,194971104,6,97632,100
162,EQ,10-Apr-18,1939.05,1943,1943,1913.5,1921.2,1920.85,1920.94,1516809,2913693991,55147,947252,62.45
163,IL,10-Apr-18,1997,1970,1970,1970,-,1970,1970,1000,1970000,1,1000,100
164,EQ,11-Apr-18,1920.85,1915.9,1920,1905.4,1918,1918.85,1913.82,717703,1373553936,64684,382502,53.3
165,IL,11-Apr-18,1970,1971,1972,1971,-,1972,1971.97,1550000,3056550000,75,1550000,100
166,EQ,12-Apr-18,1918.85,1916,1932.9,1905.9,1925,1928.8,1920.27,1178129,2262325817,26955,476496,40.45
167,IL,12-Apr-18,1972,1971,1971,1971,-,1971,1971,630000,1241730000,15,630000,100
168,EQ,13-Apr-18,1928.8,1928,1940,1919.1,1930,1925,1928.02,824293,1589255011,26003,394398,47.85
169,EQ,16-Apr-18,1925,1920,1950,1919.85,1943.5,1942.1,1938.89,711936,1380367127,21855,318462,44.73
170,EQ,17-Apr-18,1942.1,1943.5,1951,1934.1,1950,1948.5,1944.42,666958,1296845993,21401,354286,53.12
171,EQ,18-Apr-18,1948.5,1951,1953.5,1930.05,1934,1932.6,1942.91,678180,1317640649,21302,345977,51.02
172,IL,18-Apr-18,1971,1970,1972,1970,-,1972,1970.09,660832,1301900704,16,660832,100
173,EQ,19-Apr-18,1932.6,1940,1944.8,1933,1939,1939,1938.07,792258,1535448278,36850,456501,57.62
174,EQ,20-Apr-18,1939,1941,1961,1932.15,1959.7,1955.9,1945.78,2340345,4553789223,70006,1792050,76.57
175,EQ,23-Apr-18,1955.9,1979,1979,1860.3,1939.5,1935.75,1947.51,3826155,7451481658,76106,1003096,26.22
176,EQ,24-Apr-18,1935.75,1935,1948.05,1926,1934.1,1935,1935.57,1259354,2437572243,33400,466047,37.01
177,EQ,25-Apr-18,1935,1927.9,1938,1912,1920,1920.75,1924.27,1005148,1934175516,42185,468604,46.62
178,IL,25-Apr-18,1972,1980,1980,1980,-,1980,1980,202377,400706460,7,202377,100
179,EQ,26-Apr-18,1920.75,1916.8,1939.2,1911.25,1926.1,1930.25,1930.42,1961870,3787241209,33677,907515,46.26
180,EQ,27-Apr-18,1930.25,1933,1935.5,1912.5,1925,1923.4,1918.5,1444252,2770792413,47025,825792,57.18
181,IL,27-Apr-18,1980,1975,1975,1975,-,1975,1975,520000,1027000000,25,520000,100
182,EQ,30-Apr-18,1923.4,1930,1954.8,1928.8,1945.1,1944.3,1945.7,1152388,2242199201,32030,649513,56.36
183,EQ,02-May-18,1944.3,1950,1978,1946,1969.55,1969.5,1965.16,1775012,3488178419,62881,938108,52.85
184,EQ,03-May-18,1969.5,1968.05,1974.9,1946,1968,1967.9,1963.23,1038193,2038207487,30529,365265,35.18
185,EQ,04-May-18,1967.9,1970,1990,1966.3,1985.4,1988.5,1981.08,1720359,3408176310,33291,1084558,63.04
186,EQ,07-May-18,1988.5,1981.65,1987.3,1975,1977.5,1977.4,1980.88,1316032,2606904359,32517,781466,59.38
187,IL,07-May-18,1975,2100,2100,2100,-,2100,2100,12,25200,4,12,100
188,EQ,08-May-18,1977.4,1979.25,1979.9,1954.6,1966.5,1967.05,1964.31,1775141,3486935565,30036,1149021,64.73
189,IL,08-May-18,2100,2142,2142,2055.85,-,2066.65,2064.65,15515,32032989,511,15515,100
190,EQ,09-May-18,1967.05,1956.15,1980.5,1956.15,1978.1,1978.4,1973.46,1081833,2134957239,30775,618193,57.14
191,IL,09-May-18,2066.65,2070,2090,2069.5,-,2090,2069.53,21745,45001921,12,21745,100
192,EQ,10-May-18,1978.4,1988.6,1999,1982,1985.3,1992.7,1991.88,1792918,3571274019,41455,943387,52.62
193,EQ,11-May-18,1992.7,1992.7,2017,1986,2010.65,2011.75,1999.73,1514267,3028118878,49338,879712,58.09
194,IL,11-May-18,2090,2093,2125,2093,-,2117.2,2103.31,230737,485311658,43,230737,100
195,EQ,14-May-18,2011.75,2017.2,2027.4,2012.4,2024,2021.75,2021.18,1185729,2396569106,35034,663572,55.96
196,IL,14-May-18,2117.2,2120,2140,2120,-,2140,2127.07,777469,1653734280,39,777469,100
197,EQ,15-May-18,2021.75,2027.05,2065,2026.7,2040.25,2037.8,2046.53,2456671,5027645858,52626,1289131,52.47
198,IL,15-May-18,2140,2160,2160,2160,-,2160,2160,152189,328728240,7,152189,100
199,EQ,16-May-18,2037.8,2030.55,2049,2017.15,2027.5,2023.35,2031.04,1710401,3473886890,56061,1109107,64.84
200,IL,16-May-18,2160,2130,2130,2095,-,2095,2099.59,1154139,2423217020,46,1076368,93.26
201,EQ,17-May-18,2023.35,2023.85,2044.45,2012.5,2040.85,2027.75,2022.12,1653869,3344316980,28827,747275,45.18
202,EQ,18-May-18,2027.75,2024.7,2024.7,2003.5,2011.9,2012.15,2014.47,1304365,2627602349,47647,660982,50.67
203,IL,18-May-18,2095,2111,2111,2111,-,2111,2111,200000,422200000,6,200000,100
204,EQ,21-May-18,2012.15,2016.1,2021,1986.05,1997.1,1993.05,1993.75,1212027,2416479609,37162,711864,58.73
205,IL,21-May-18,2111,2030,2035,2030,-,2030,2031.11,450000,914000000,17,350000,77.78
206,EQ,22-May-18,1993.05,1998.7,2013.95,1985.5,1989.9,1989.9,1997.96,990093,1978165832,57895,582922,58.88
207,EQ,23-May-18,1989.9,1987.8,1994,1963.4,1965,1967.5,1976.78,1431573,2829907721,43333,733712,51.25
208,EQ,24-May-18,1967.5,1967.1,1990.25,1956.35,1989.2,1986,1970.67,1130186,2227221743,22930,343874,30.43
209,EQ,25-May-18,1986,1990,2016,1989.9,2008,2008.7,2004.87,1189897,2385592681,34306,609785,51.25
210,EQ,28-May-18,2008.7,2007.8,2052,2006,2038.25,2042.2,2037.48,1275985,2599796071,35912,612923,48.04
211,EQ,29-May-18,2042.2,2038,2052.7,2028.8,2031.6,2032.6,2042.07,837811,1710866827,37142,336056,40.11
212,EQ,30-May-18,2032.6,2019.7,2053,2016.3,2050.5,2048.35,2040.97,1216749,2483350966,40713,505099,41.51
213,EQ,31-May-18,2048.35,2100,2160,2080,2130,2139.45,2118.27,9909798,20991620343,172676,4103328,41.41
214,IL,31-May-18,2030,2202,2202,2202,-,2202,2202,25000,55050000,1,25000,100
215,EQ,01-Jun-18,2139.45,2116,2138,2101,2106.95,2110.6,2116.77,5287839,11193143672,99119,1532118,28.97
216,EQ,04-Jun-18,2110.6,2150,2157,2037.95,2045,2046.2,2098.04,22199081,46574473923,245711,13914623,62.68
217,IL,04-Jun-18,2202,2075,2090,2075,-,2087,2084.83,285779,595799525,22,285779,100
218,EQ,05-Jun-18,2046.2,2050,2066.95,2023,2064.85,2063.6,2050.5,4276365,8768700390,107261,2076336,48.55
219,EQ,06-Jun-18,2063.6,2060.2,2064.8,2045,2057.4,2057.35,2057.29,2445500,5031101788,95270,1579516,64.59
220,EQ,07-Jun-18,2057.35,2073.2,2079.8,2053.2,2061.9,2062.2,2070.16,2640974,5467251084,78397,1574412,59.61
221,EQ,08-Jun-18,2062.2,2059,2061.25,2035,2048.95,2049.35,2046.16,1545222,3161769178,104515,884695,57.25
222,EQ,11-Jun-18,2049.35,2051.9,2062.95,2038.8,2041.75,2042.3,2051.22,1772797,3636404885,57753,1138924,64.24
223,EQ,12-Jun-18,2042.3,2051.9,2052.7,2038.4,2045,2043.85,2045.45,1308564,2676605963,54586,871913,66.63
224,EQ,13-Jun-18,2043.85,2052,2054.8,2024.1,2032,2031.45,2034.95,1974490,4017987613,103434,1353016,68.52
225,EQ,14-Jun-18,2031.45,2030,2045,2025,2035,2037.4,2039.58,4231894,8631283806,96797,2913891,68.86
226,IL,14-Jun-18,2087,2060,2060,2060,-,2060,2060,1,2060,1,1,100
227,EQ,15-Jun-18,2037.4,2026,2038.9,2022.3,2027,2029.6,2031.56,2720204,5526268358,90605,1836184,67.5
